Story ID,Feature Area,User Story,Expected Behavior From Code,Primary Evidence,Validation Method,Initial Status,Latest Test Result,Errors / UX Issues,Fix Status,Retest Result,Notes
US-001,Public home/navigation,"As a visitor, I can understand the restaurant and move to reservation, store, journal, menu, access, FAQ, privacy, legal, and contact pages.","Top page renders marketing sections and links to reservation, store, daily journal, contact, legal/privacy/FAQ through AppShell/TopNav.","src/app/page.tsx; src/components/app-shell.tsx; src/components/top-nav.tsx","Browser smoke: visit / and follow main links; build validates route compilation.",FIXED_AND_RETESTED,"PASS: / returned 200 with no console/page errors after retest; npm run build passed.","Initial browser pass found 404 for /photos/icons/utensils-cursor-32.png.",FIXED,"PASS: removed missing cursor fallback and retested / with no console errors.","Public content only; no DB mutation expected."
US-002,Menu and access pages,"As a visitor, I can review menu/access details and start a booking from those pages.","Menu/access pages render static restaurant information and links to /booking and contact phone/map routes.","src/app/menu/page.tsx; src/app/access/page.tsx","Browser smoke: visit /menu and /access; verify links and text visibility.",TESTED_LOCAL,"PASS: /menu and /access returned 200 with body text visible; npm run build passed.",,,,
US-003,FAQ/legal/privacy/contact pages,"As a visitor, I can read policy/help pages and submit a contact request.","Static legal/privacy/FAQ pages render; contact form posts JSON to /api/contact and fail-closes if email delivery fails.","src/app/faq/page.tsx; src/app/legal/page.tsx; src/app/privacy/page.tsx; src/components/contact-form.tsx; src/app/api/contact/route.ts","Unit tests for validation/email; browser form smoke with mocked or local provider constraints.",TESTED_LOCAL_WITH_EXTERNAL_LIMIT,"PASS: /faq /legal /privacy /contact returned 200; email-delivery and validation tests passed.",,NOT_APPLICABLE,,"Email provider delivery itself was not live-tested."
US-004,Daily journal public feed,"As a visitor, I can read published daily journal entries.","GET /api/daily-journal returns published DB entries; if table missing it falls back to seed entries with source=seed.","src/app/daily-journal/page.tsx; src/app/api/daily-journal/route.ts; src/lib/daily-journal/index.ts","API/unit smoke plus browser visit /daily-journal.",TESTED_LOCAL,"PASS: /daily-journal returned 200 and displayed entries; build passed.",,,,
US-005,Booking form availability,"As a customer, I can choose an accepted reservation date, service period, party size, and arrival time.","Booking UI queries /api/availability and /api/availability/monthly; booking rules reject before opening, same-day/past, beyond 3 months, closed weekdays/dates, cutoff-passed, and service-period closures.","src/components/reserve-form.tsx; src/app/api/availability/route.ts; src/app/api/availability/monthly/route.ts; src/lib/booking-rules.ts; src/lib/reservation-capacity.ts","Vitest rules/capacity tests plus browser booking calendar smoke.",TESTED_LOCAL,"PASS: /booking returned 200; rules/reservation-capacity/reservation-integration tests passed.",,,,
US-006,Public normal reservation creation,"As a customer, I can submit a valid normal reservation and receive success only when the reservation is saved and notification path is handled.","POST /api/reservations enforces write security, schema readiness, rate limit, validation, availability, advisory lock, duplicate window, and rejects public PRIVATE_BLOCK payloads.","src/app/api/reservations/route.ts; src/lib/validation/reservations.ts; src/lib/reservation-dedup.ts; src/lib/reservation-lock.ts","Vitest reservation route/integration tests; DB tests only with safe TEST_DATABASE_URL.",TESTED_LOCAL_WITH_DB_LIMIT,"PASS: validation/reservations-public/reservation-integration tests passed; DB destructive tests skipped because TEST_DATABASE_URL is unset.",,NOT_APPLICABLE,,"Safe local DB proof remains unverified until TEST_DATABASE_URL points to a *_test database."
US-007,Reservation duplicate replay,"As a customer, if I accidentally resubmit the same reservation quickly, I should get the existing reservation rather than duplicate records.","Duplicate candidate logic uses a one-minute window and matching identity/details; deduplicated response must not mint a fresh LINE link token.","src/app/api/reservations/route.ts; src/lib/reservation-dedup.ts; tests/reservations-route-db.test.ts; tests/reservations-public-api.test.ts","Vitest DB route tests with safe test DB; public API tests.",TESTED_LOCAL_WITH_DB_LIMIT,"PASS: public API dedupe token test passed; DB duplicate tests skipped because TEST_DATABASE_URL is unset.",,NOT_APPLICABLE,,"Safe local DB proof remains unverified."
US-008,Reservation LINE link offer,"As a customer, after booking I can receive a LINE link token without exposing admin links.","Reservation response may include liff.line.me link when LIFF link ID is configured; adminLink must not be included in public response.","src/app/api/reservations/route.ts; tests/reservations-public-api.test.ts","Vitest public reservations API tests.",TESTED_LOCAL,"PASS: reservations-public-api tests passed.",,,,
US-009,Private block customer access,"As staff with an access code, I can unlock private-block mode from the public/private access endpoint, but normal customers cannot create private blocks through reservation API.","POST /api/private-block/access validates PRIVATE_BLOCK_ACCESS_CODE; POST /api/reservations rejects reservationType=PRIVATE_BLOCK with 403.","src/app/api/private-block/access/route.ts; src/app/api/reservations/route.ts; tests/private-block-access-route.test.ts; tests/reservations-route.test.ts","Vitest private-block access and reservations route tests.",TESTED_LOCAL,"PASS: private-block access and public private-block rejection tests passed.",,,,
US-010,Admin reservation list/detail,"As staff, I can view reservations by date/status and open details only after an individual Supabase Auth session with role and MFA.","Admin reservation APIs require an individual Supabase Auth user with app_metadata.role, TOTP MFA (aal2), and a bounded session; list supports date/status filter and invalid status returns 400; detail returns 404 when missing.","src/app/admin/reservations/page.tsx; src/app/admin/reservations/[id]/page.tsx; src/app/api/admin/reservations/route.ts; src/app/api/admin/reservations/[id]/route.ts","Vitest auth/status tests; browser with an enrolled staff session.",TESTED_LOCAL_PROTECTED,"PASS: unauthenticated admin pages redirect to /admin/login; route auth/status tests passed.",,NOT_APPLICABLE,,"Authenticated browser CRUD was not run to avoid DB mutation."
US-011,Admin reservation status update,"As staff, I can mark reservations CANCELLED/DONE/NOSHOW without deleting data, and terminal reservations cannot be restored from this screen.","PATCH /api/admin/reservations/[id] requires an individual Supabase Auth session, role, MFA, and write-security headers; terminal current statuses reject further transition with 409; same-state update is idempotent.","src/app/api/admin/reservations/[id]/route.ts; src/components/status-form.tsx; src/components/cancel-button.tsx; tests/admin-reservation-status-route.test.ts","Vitest status route tests; browser admin action smoke with an enrolled staff session.",TESTED_LOCAL,"PASS: admin reservation status transition tests passed; destructive scanner passed.",,NOT_APPLICABLE,,"Authenticated browser mutation was not run."
US-012,Admin business day control,"As staff, I can mark dates closed/open with notes and see day status in the admin calendar.","GET/POST /api/admin/business-days requires an individual Supabase Auth session, role, and MFA; /api/admin/day-status feeds month/day status to admin UI.","src/app/admin/business-days/page.tsx; src/app/api/admin/business-days/route.ts; src/lib/admin-day-status.ts","Vitest admin-day-status tests; browser admin business-days smoke with an enrolled staff session.",TESTED_LOCAL_PROTECTED,"PASS: unauthenticated admin pages redirect to /admin/login; admin-day-status tests passed.",,NOT_APPLICABLE,,"Authenticated write was not run."
US-013,Admin private block control,"As staff, I can create a private-block reservation for an empty service period, get no-op if already blocked, and get conflict if normal confirmed reservations exist.","POST /api/admin/private-block requires an individual ADMIN Supabase Auth session, TOTP MFA, and write security; transaction checks confirmed reservations and writes PrivateBlockAuditLog with source ADMIN_USER.","src/app/api/admin/private-block/route.ts; src/lib/private-block.ts; src/lib/private-block-audit.ts","Targeted API tests/manual admin smoke with safe DB and an enrolled ADMIN session.",TESTED_LOCAL_WITH_DB_LIMIT,"PASS: route compiled and admin auth/security tests passed; private-block DB tests skipped because TEST_DATABASE_URL/TEST_STAFF_AUTH_COOKIE is unset.",,NOT_APPLICABLE,,"Safe local DB proof remains unverified."
US-014,Admin daily journal editor,"As staff, I can create/update journal entries and publish them to the public journal.","Admin daily journal API requires an individual Supabase Auth session, role, and MFA and validates payload; public API only returns PUBLISHED entries.","src/app/admin/daily-journal/page.tsx; src/app/admin/daily-journal/page-client.tsx; src/app/api/admin/daily-journal/route.ts; src/app/api/daily-journal/route.ts","Browser admin editor smoke with an enrolled staff session; API tests if present.",FIXED_AND_RETESTED,"PASS: unauthenticated route redirects to /admin/login; API auth/security regression tests passed.","Initial browser sweep showed page body returned 200 in development while its API returned 401.",FIXED,"PASS: removed dev-only middleware exception and retested as protected.", "Authenticated editor mutation was not run."
